question_number,question_type,judge_recommended,gold_count,gold_company_count,mean_entity_f1,models_with_count_match,models_scored_for_count,best_model_by_entity_f1,question
38,list_or_lookup_judge_recommended,True,2,2,0.0,0,0,direct_context::base,"Which Georgia companies are involved in battery recycling or second-life battery processing, reflecting the emerging circular economy trend?"
39,list_or_lookup_judge_recommended,True,1,1,0.0,0,0,direct_context::base,"Which Georgia supplier appears to play an innovation-stage role through research, development, or prototyping activity?"
40,list_or_lookup_judge_recommended,True,5,5,0.0,0,1,direct_context::base,"Which Georgia suppliers currently serving traditional OEMs are also linked to EV-native OEMs, showing dual-platform supply capability?"
41,lookup,False,2,2,0.0,0,0,direct_context::base,"For an international battery materials company seeking a Georgia location, which areas have existing chemical manufacturing infrastructure?"
42,list_or_lookup_judge_recommended,True,1,1,0.0,0,0,direct_context::base,"Which Georgia areas have R&D facility types in the automotive sector, suggesting innovation infrastructure suitable for EV technology development centers?"
29,list_or_lookup,False,23,23,0.0267,0,0,direct_context::kb_only,Identify any EV-relevant Georgia companies classified as OEM Footprint or OEM Supply Chain?
34,aggregation_ranking,False,4,4,0.0833,1,1,direct_context::kb_web,"Which four Georgia companies have the largest employment in EV thermal management, and how many employees does each have?"
8,aggregation_ranking,False,,0,0.3333,0,0,direct_context::kb_web,Which county have the highest total Employment among Tier 1 suppliers only?
11,list_or_lookup,False,3,1,0.6667,0,0,direct_context::base,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.
6,list_or_lookup,False,3,1,1.0,0,1,direct_context::kb_only,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?"
15,list_or_lookup_judge_recommended,True,0,0,1.0,0,0,direct_context::base,Identify Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics.
17,list_or_lookup,False,,0,,0,0,,"Which Georgia Tier 1/2 companies produce engineered plastics, polymers, or composite materials applicable to EV structural or thermal components?"
